User ID,Age,Gender,Height,Interests,Looking For,Children,Education Level,Occupation,Swiping History,Frequency of Usage
136,19,Male,5.39,"['Sports', 'Movies', 'Reading']",Friendship,No,High School,Teacher,67,Daily
137,21,Female,5.95,['Sports'],Long-term Relationship,Yes,High School,Artist,64,Daily
138,35,Female,5.99,"['Reading', 'Hiking', 'Sports']",Casual Dating,Maybe,Bachelor's Degree,Doctor,75,Daily
139,28,Male,5.32,"['Sports', 'Movies', 'Music']",Long-term Relationship,Maybe,Bachelor's Degree,Artist,86,Weekly
140,28,Female,5.84,"['Travel', 'Movies', 'Cooking']",Friendship,Yes,Bachelor's Degree,Social Media Influencer,66,Monthly
141,22,Male,5.31,"['Movies', 'Sports']",Long-term Relationship,Yes,Bachelor's Degree,Artist,60,Daily
142,25,Male,5.45,"['Sports', 'Movies']",Long-term Relationship,Maybe,Bachelor's Degree,Engineer,63,Daily
143,20,Female,5.8,['Sports'],Friendship,Yes,Bachelor's Degree,Student,83,Daily
144,23,Female,5.49,"['Reading', 'Cooking', 'Music']",Friendship,Yes,High School,Engineer,1,Monthly
145,28,Female,5.46,['Sports'],Friendship,Yes,Ph.D.,Artist,94,Monthly
146,28,Male,5.76,"['Movies', 'Cooking']",Casual Dating,Maybe,Master's Degree,Social Media Influencer,87,Daily
147,29,Male,5.57,"['Movies', 'Travel', 'Sports']",Long-term Relationship,Yes,Master's Degree,Doctor,19,Weekly
148,25,Female,5.94,['Movies'],Friendship,No,High School,Student,76,Daily
149,30,Female,5.36,"['Sports', 'Music', 'Movies']",Friendship,Yes,Bachelor's Degree,Artist,45,Monthly
150,32,Female,5.04,['Movies'],Long-term Relationship,Maybe,High School,Social Media Influencer,5,Weekly
151,26,Male,5.61,['Movies'],Friendship,Yes,Ph.D.,Teacher,83,Weekly
152,24,Male,5.89,"['Hiking', 'Travel']",Friendship,Yes,Master's Degree,Business Owner,2,Daily
153,27,Female,5.08,"['Cooking', 'Reading']",Long-term Relationship,Maybe,Ph.D.,Engineer,24,Monthly
154,23,Female,5.65,['Hiking'],Long-term Relationship,No,Bachelor's Degree,Social Media Influencer,27,Daily
155,22,Female,5.74,"['Cooking', 'Reading']",Long-term Relationship,Yes,High School,Social Media Influencer,95,Weekly
156,19,Female,5.61,"['Reading', 'Hiking', 'Music']",Friendship,Yes,Bachelor's Degree,Artist,57,Monthly
157,32,Female,5.51,['Sports'],Long-term Relationship,Yes,Bachelor's Degree,Teacher,16,Weekly
158,19,Male,5.66,"['Music', 'Movies', 'Reading']",Casual Dating,No,Bachelor's Degree,Business Owner,30,Daily
159,20,Female,5.17,"['Sports', 'Travel']",Casual Dating,Yes,Ph.D.,Teacher,0,Weekly
160,25,Male,5.95,['Movies'],Long-term Relationship,Yes,Ph.D.,Doctor,36,Weekly
161,31,Female,5.12,['Cooking'],Long-term Relationship,Yes,High School,Student,34,Weekly
162,22,Male,5.51,"['Hiking', 'Sports']",Long-term Relationship,Yes,Ph.D.,Engineer,87,Weekly
163,29,Female,5.14,"['Hiking', 'Travel']",Casual Dating,Yes,Master's Degree,Doctor,7,Monthly
164,18,Male,5.67,"['Cooking', 'Music']",Casual Dating,Maybe,Master's Degree,Business Owner,33,Weekly
165,28,Female,5.02,"['Travel', 'Movies']",Casual Dating,Yes,Ph.D.,Business Owner,75,Daily
166,19,Female,5.6,"['Travel', 'Reading', 'Movies']",Casual Dating,No,High School,Student,47,Weekly
167,30,Male,5.74,"['Sports', 'Reading']",Casual Dating,Yes,Master's Degree,Doctor,18,Monthly
168,35,Male,5.8,"['Travel', 'Movies', 'Hiking']",Casual Dating,Maybe,High School,Entrepreneur,53,Weekly
169,34,Female,5.37,"['Hiking', 'Sports']",Friendship,Maybe,Bachelor's Degree,Entrepreneur,77,Weekly
170,31,Male,5.38,"['Sports', 'Reading']",Long-term Relationship,Yes,Master's Degree,Doctor,92,Weekly
171,35,Female,5.96,['Cooking'],Casual Dating,Maybe,Bachelor's Degree,Business Owner,79,Weekly
172,27,Female,5.72,"['Hiking', 'Cooking']",Casual Dating,No,Ph.D.,Artist,88,Weekly
173,24,Male,5.86,"['Reading', 'Travel', 'Hiking']",Casual Dating,Maybe,Bachelor's Degree,Business Owner,55,Monthly
174,30,Male,5.64,['Hiking'],Friendship,No,Master's Degree,Student,14,Weekly
175,27,Female,5.77,['Travel'],Friendship,Maybe,High School,Doctor,49,Weekly
176,21,Female,5.67,['Sports'],Friendship,Maybe,Ph.D.,Artist,96,Daily
177,22,Male,5.24,"['Sports', 'Reading']",Casual Dating,Maybe,High School,Student,21,Daily
178,32,Male,5.61,"['Music', 'Hiking', 'Sports']",Friendship,No,Master's Degree,Engineer,56,Weekly
179,19,Female,5.14,['Sports'],Friendship,Maybe,Master's Degree,Teacher,38,Weekly
180,31,Female,5.09,['Reading'],Long-term Relationship,Maybe,High School,Entrepreneur,96,Daily
181,26,Male,5.07,['Hiking'],Long-term Relationship,Yes,Ph.D.,Engineer,43,Daily
182,25,Female,5.59,"['Cooking', 'Reading', 'Music']",Friendship,No,Master's Degree,Social Media Influencer,85,Weekly
183,29,Female,5.36,"['Movies', 'Reading', 'Music']",Friendship,Maybe,Master's Degree,Doctor,7,Weekly
184,33,Female,5.35,"['Sports', 'Reading', 'Cooking']",Long-term Relationship,Yes,High School,Business Owner,91,Monthly
185,22,Female,5.93,['Movies'],Casual Dating,Yes,High School,Doctor,69,Weekly
186,25,Male,5.86,['Sports'],Long-term Relationship,Yes,Ph.D.,Artist,13,Daily
187,35,Male,5.36,['Travel'],Friendship,Maybe,High School,Student,64,Daily
188,21,Female,5.52,"['Hiking', 'Movies', 'Reading']",Friendship,Maybe,Bachelor's Degree,Teacher,59,Monthly
189,27,Female,5.93,"['Cooking', 'Music']",Friendship,Yes,High School,Social Media Influencer,29,Monthly
190,31,Female,5.14,"['Cooking', 'Sports', 'Hiking']",Long-term Relationship,Yes,High School,Business Owner,20,Daily
191,19,Male,5.35,"['Hiking', 'Sports']",Long-term Relationship,Yes,High School,Artist,24,Daily
192,18,Female,5.61,['Hiking'],Friendship,Yes,Master's Degree,Engineer,51,Weekly
193,26,Female,5.15,['Cooking'],Friendship,No,Master's Degree,Doctor,24,Daily
194,23,Female,5.22,"['Cooking', 'Reading']",Friendship,Maybe,Bachelor's Degree,Business Owner,4,Weekly
195,27,Male,5.06,"['Sports', 'Hiking', 'Movies']",Friendship,No,Bachelor's Degree,Entrepreneur,78,Monthly
196,26,Male,5.07,"['Travel', 'Music']",Friendship,Maybe,Bachelor's Degree,Entrepreneur,15,Daily
197,21,Female,6,['Movies'],Casual Dating,Maybe,Ph.D.,Doctor,92,Weekly
198,23,Male,5.72,['Reading'],Long-term Relationship,Maybe,Master's Degree,Entrepreneur,98,Weekly
199,31,Male,5.73,"['Cooking', 'Travel']",Casual Dating,Yes,Bachelor's Degree,Artist,61,Weekly
200,23,Male,5.58,"['Travel', 'Cooking', 'Reading']",Friendship,Maybe,High School,Student,12,Daily
201,35,Male,5.98,"['Music', 'Sports']",Casual Dating,No,Ph.D.,Doctor,80,Daily
202,28,Male,5.5,"['Cooking', 'Reading', 'Hiking']",Casual Dating,Yes,Master's Degree,Doctor,33,Weekly
203,35,Female,5.81,['Travel'],Long-term Relationship,No,Master's Degree,Artist,20,Monthly
204,34,Male,5.1,['Music'],Casual Dating,No,Master's Degree,Doctor,47,Weekly
205,27,Female,5.04,['Travel'],Long-term Relationship,Maybe,Bachelor's Degree,Artist,7,Monthly
206,25,Male,5.61,"['Reading', 'Travel', 'Cooking']",Long-term Relationship,No,Bachelor's Degree,Engineer,31,Monthly
207,24,Male,5.19,"['Sports', 'Music', 'Travel']",Friendship,No,High School,Teacher,95,Daily
208,34,Female,5.62,"['Music', 'Cooking']",Casual Dating,No,High School,Artist,61,Monthly
209,27,Male,5.13,"['Cooking', 'Music', 'Hiking']",Long-term Relationship,Yes,Master's Degree,Engineer,52,Monthly
210,26,Male,5.38,"['Cooking', 'Sports']",Long-term Relationship,Yes,High School,Artist,21,Daily
211,29,Female,5.5,['Reading'],Long-term Relationship,No,Bachelor's Degree,Artist,31,Weekly
212,24,Male,5.26,"['Cooking', 'Music', 'Hiking']",Friendship,No,High School,Teacher,20,Monthly
213,31,Female,5.56,"['Hiking', 'Sports', 'Travel']",Long-term Relationship,Maybe,Ph.D.,Teacher,21,Monthly
214,29,Male,5.41,['Reading'],Casual Dating,No,Ph.D.,Social Media Influencer,62,Daily
215,22,Male,5.99,"['Music', 'Reading', 'Movies']",Long-term Relationship,Yes,Master's Degree,Social Media Influencer,88,Weekly
216,31,Male,5.61,"['Hiking', 'Sports']",Casual Dating,No,High School,Doctor,35,Daily
217,29,Male,5.01,['Sports'],Friendship,No,High School,Doctor,74,Monthly
218,23,Female,5.5,"['Hiking', 'Cooking']",Long-term Relationship,Maybe,High School,Doctor,19,Monthly
219,20,Female,5.39,['Movies'],Friendship,Maybe,High School,Artist,37,Daily
220,30,Female,5.4,"['Hiking', 'Sports', 'Reading']",Long-term Relationship,No,Master's Degree,Social Media Influencer,87,Daily
221,21,Female,5.6,"['Movies', 'Music']",Friendship,Yes,Bachelor's Degree,Business Owner,59,Monthly
222,34,Male,5.08,"['Hiking', 'Reading']",Long-term Relationship,No,Ph.D.,Teacher,57,Weekly
223,21,Female,5.52,['Travel'],Long-term Relationship,Yes,Bachelor's Degree,Student,54,Daily
224,24,Male,5.95,['Movies'],Casual Dating,No,Master's Degree,Artist,2,Daily
225,34,Female,5.83,['Cooking'],Friendship,No,Bachelor's Degree,Engineer,50,Monthly
226,27,Male,5.43,"['Hiking', 'Sports', 'Music']",Casual Dating,No,Ph.D.,Engineer,83,Monthly
227,27,Female,5.48,"['Sports', 'Movies']",Friendship,Yes,Bachelor's Degree,Business Owner,34,Weekly
228,21,Female,5.06,"['Travel', 'Movies']",Long-term Relationship,No,Bachelor's Degree,Doctor,23,Weekly
229,27,Male,5.78,['Hiking'],Casual Dating,Maybe,Ph.D.,Artist,56,Daily
230,32,Female,5.94,"['Reading', 'Hiking']",Friendship,Yes,High School,Engineer,57,Monthly
231,22,Male,5.73,['Movies'],Long-term Relationship,No,Bachelor's Degree,Social Media Influencer,88,Monthly
232,29,Male,5.18,['Hiking'],Friendship,No,Ph.D.,Business Owner,70,Weekly
233,18,Male,5.98,['Reading'],Friendship,Yes,Bachelor's Degree,Student,38,Weekly
234,34,Female,5.08,"['Travel', 'Sports']",Friendship,No,Master's Degree,Engineer,4,Monthly
235,33,Male,5.67,"['Reading', 'Hiking']",Long-term Relationship,Maybe,High School,Business Owner,85,Weekly
236,32,Female,5.11,"['Movies', 'Hiking', 'Music']",Friendship,Maybe,Ph.D.,Social Media Influencer,62,Weekly
237,24,Male,5.16,"['Hiking', 'Music', 'Travel']",Long-term Relationship,Yes,Ph.D.,Teacher,14,Daily
238,23,Female,5.17,"['Movies', 'Hiking', 'Music']",Casual Dating,Maybe,Bachelor's Degree,Artist,39,Weekly
239,18,Male,5.18,['Movies'],Long-term Relationship,Maybe,High School,Doctor,93,Weekly
240,26,Female,5.74,"['Travel', 'Sports', 'Hiking']",Long-term Relationship,No,Bachelor's Degree,Engineer,20,Weekly
241,20,Male,5.03,"['Music', 'Movies']",Friendship,Yes,Master's Degree,Engineer,98,Daily
242,18,Male,5.42,"['Music', 'Travel']",Casual Dating,Maybe,Bachelor's Degree,Artist,57,Weekly
243,33,Female,5.35,['Reading'],Long-term Relationship,Maybe,Master's Degree,Business Owner,90,Weekly
244,20,Female,5.87,"['Travel', 'Reading', 'Cooking']",Friendship,Maybe,Bachelor's Degree,Engineer,98,Weekly
245,31,Female,5.7,['Travel'],Long-term Relationship,No,Master's Degree,Student,63,Weekly
246,25,Female,5.67,"['Reading', 'Hiking']",Friendship,No,Ph.D.,Business Owner,54,Weekly
247,22,Male,5.49,['Sports'],Casual Dating,No,High School,Student,67,Monthly
248,32,Male,5.6,"['Cooking', 'Music']",Long-term Relationship,No,Master's Degree,Entrepreneur,20,Weekly
249,21,Male,5.51,"['Movies', 'Sports']",Long-term Relationship,No,Bachelor's Degree,Teacher,65,Daily
250,26,Male,5.27,"['Music', 'Travel']",Friendship,Yes,High School,Artist,16,Daily
251,23,Female,5.91,"['Reading', 'Movies', 'Cooking']",Long-term Relationship,Yes,High School,Student,92,Weekly
252,20,Female,5.47,['Reading'],Long-term Relationship,No,High School,Engineer,48,Daily
253,25,Male,5.84,['Reading'],Friendship,Maybe,High School,Engineer,48,Weekly
254,27,Male,5.04,['Music'],Casual Dating,No,High School,Student,16,Daily
255,24,Male,5.87,['Music'],Long-term Relationship,Maybe,Master's Degree,Social Media Influencer,10,Daily
256,31,Male,5.39,"['Music', 'Cooking', 'Reading']",Long-term Relationship,No,High School,Engineer,11,Weekly
257,18,Male,5.72,"['Reading', 'Travel']",Casual Dating,No,Bachelor's Degree,Teacher,86,Weekly
258,32,Male,5.04,"['Sports', 'Travel']",Friendship,Yes,Ph.D.,Teacher,32,Weekly
259,35,Male,5.12,['Travel'],Casual Dating,Yes,Bachelor's Degree,Business Owner,40,Monthly
260,26,Female,5.36,"['Music', 'Cooking', 'Reading']",Casual Dating,Yes,Master's Degree,Artist,50,Monthly
261,25,Female,5.01,"['Movies', 'Music']",Long-term Relationship,Maybe,Bachelor's Degree,Student,54,Weekly
